"","x"
"r.squared",0.893951997442316
"limestone",47693799.6738002
"aet_mm_cyr",44505991.115904
"bio9_mean",42863913.7932879
"bio12_mean",40212424.9771675
"scd_mean",36301299.3348958
"snd_pc_uav",21432399.5574061
"granite",20167060.753245
"q_si_mean",20114225.4304846
"predprob30",19328138.7950366
"bio4_mean",18088353.492773
"bio15_mean",16959214.6414561
"to_the_sea",14358170.8495993
"ele_mt_cmn",13285517.0384114
"impacted_lc",12148038.5327431
"quartzite",11698499.3358511
"mud",11601894.8771531
"gwt_cm_cav",10736136.9238487
"meta_sandstone",10587427.508052
"sandstone",9660359.44110256
"slt_pc_cav",8478521.93395377
"ero_kh_cav",8101160.20943001
"hft_ix_c09",7676233.48158413
"pop_ct_csu",7570008.62168857
"marl",6445269.71826301
"meta_basalt_group",6238709.28489744
"phyllite",5962685.29754956
"gneiss",5903052.90911678
"riv_tc_usu",5708835.76547003
"undifferentiated",5023131.05853621
"gabbro",4586280.98058436
"mica_schist",3710980.82779575
"granite_group",2869017.29112617
"conglomerate",2016365.07071843
"granodiorite_diorite_group",1910750.73920204
"shale_slate",1545543.70193071
"marble",1512002.2264387
"claystone",1471888.00052874
"gla_pc_use",1328120.50985045
"clay",1059049.85855439
"migmatite_anatexite",926317.017733701
"sand",684111.019481224
"dolomite_dolostone",470691.969926508
"plutonic_ultramafic_group",460530.928895733
"tholeiitic_basalt",430305.849580857
"carbonates_consolidated",346045.724534851
"amphibolite",331278.734014007
"meta_sediment_group",315177.737075427
"rhyolite_group",304230.736968908
"schist_group",297218.766843004
"meta_basalt",294714.720680153
"alkali_basalt",287481.863469451
"meta_granite",253375.119715171
"siltstone",250530.655520809
"meta_granodiorite",229755.280095521
"andesite",216164.897096248
"rhyolite",215505.110932746
"peridotite",202565.53321618
"granulite",170586.912349527
"granodiorite",162566.690788585
"rhyodacite",158782.545729865
"meta_rhyolite",132392.879793686
"trachyte",130441.44071986
"dolerite",125858.287070041
"gabbro_group",95954.1470958329
"alkali_rhyolite",89079.7520613576
"basalt_group",88301.083769967
"meta_rhyolite_group",84204.2592164507
"alkali_granite",76639.4126781318
"andesite_group",74272.7280577732
"meta_gabbro",72016.2434488873
"meta_volcanic_rock_group",38842.6399096458
"siliclastics_consolidated",36282.0171837584
"tonalite",28490.7976655372
"basalt",24350.1800829328
"serpentinite",22605.0380569088
"greenschist",20143.4544375103
"diorite",20056.8724787918
"gravel",16686.1840788946
"latite",6871.43108445042
"seawater_area",5405.7515756955
"meta_andesite",4840.22153239036
"dacite",4325.47156155972
"marlstone",2605.56305314182
"meta_granite_group",2478.24095655465
"alkali_syenite",0
"andesite_agglomerate",0
"blueschist",0
"carbonates",0
"chalk",0
"chert",0
"dunite_harzburgite_lherzolite",0
"eclogite",0
"essexite_theralite_group",0
"gypsum",0
"lamprophyre",0
"meta_carbonate",0
"meta_claystone",0
"meta_gabbro_group",0
"meta_limestone",0
"meta_peridotite",0
"meta_rhyodacite",0
"miscellaneous_metamorphic_rock_group",0
"mudstone",0
"phonolite",0
"rock_salt",0
"silt",0
"syenite",0
"syenite_monzonite_group",0
"tephrite_basanite",0
"theralite",0
"tuff_group",0
"tuffite_group",0
"volcanic_alkaline_group",0
